state_code,state_name,region
AL,Alabama,Southeast
AK,Alaska,Pacific
AZ,Arizona,Southwest
AR,Arkansas,South
CA,California,Pacific
CO,Colorado,Mountain
CT,Connecticut,Northeast
DE,Delaware,Northeast
FL,Florida,Southeast
GA,Georgia,Southeast
HI,Hawaii,Pacific
ID,Idaho,Mountain
IL,Illinois,Midwest
IN,Indiana,Midwest
IA,Iowa,Midwest
KS,Kansas,Central
KY,Kentucky,Southeast
LA,Louisiana,South
ME,Maine,Northeast
MD,Maryland,Northeast
MA,Massachusetts,Northeast
MI,Michigan,Midwest
MN,Minnesota,Midwest
MS,Mississippi,South
MO,Missouri,Midwest
MT,Montana,Mountain
NE,Nebraska,Central
NV,Nevada,Mountain
NH,New Hampshire,Northeast
NJ,New Jersey,Northeast
NM,New Mexico,Southwest
NY,New York,Northeast
NC,North Carolina,Southeast
ND,North Dakota,Midwest
OH,Ohio,Midwest
OK,Oklahoma,South
OR,Oregon,Pacific
PA,Pennsylvania,Northeast
RI,Rhode Island,Northeast
SC,South Carolina,Southeast
SD,South Dakota,Midwest
TN,Tennessee,Southeast
TX,Texas,South
UT,Utah,Mountain
VT,Vermont,Northeast
VA,Virginia,Southeast
WA,Washington,Pacific
WV,West Virginia,Southeast
WI,Wisconsin,Midwest
WY,Wyoming,Mountain
